,apartment_name,build_year,area,floor,dong,road_name,road_name_bonbun,jibun,deal_amount,deal_day
3065,경보그랜드비치,2018,84.7205,7,기장읍 대변리,무양2길,00017,647,"    38,500",2022.5.10
3066,동부산관광단지삼정그린코아더베스트,2017,79.9827,6,기장읍 내리,기장대로,00082,792,"    45,000",2022.5.27
3067,정관가화만사성더테라스2차,2018,142.6275,1,정관읍 방곡리,구연방곡로,00106,405,"    45,000",2022.5.2
3068,부산정관지구이지더원5차아파트,2015,68.414,2,정관읍 방곡리,방곡로,00029,378,"    26,300",2022.5.7
3069,부산정관지구이지더원5차아파트,2015,68.414,3,정관읍 방곡리,방곡로,00029,378,"    24,700",2022.5.10
3070,정관가화만사성더테라스1차,2017,84.9623,2,정관읍 방곡리,구연방곡로,00120,407,"    41,000",2022.5.11
3071,동경리치타운(1797-8),2005,83.26,3, 대연동,진남로,00114,1797-8,"    31,000",2022.5.2
3072,청구,2001,84.99,9, 대연동,황령대로319번가길,00110,243-23,"    31,000",2022.5.3
3073,대연롯데캐슬,2015,84.4873,2, 대연동,수영로325번길,00061,1865,"    80,000",2022.5.3
3074,대연파크푸르지오,2018,84.9866,26, 대연동,홍곡로,00360,1893,"    73,000",2022.5.4
3075,대연롯데캐슬레전드1단지,2018,84.95,16, 대연동,수영로,00135,1872,"    85,300",2022.5.4
3076,대연파크푸르지오,2018,74.9524,8, 대연동,홍곡로,00360,1893,"    64,000",2022.5.4
3077,대연SKVIEWHills,2018,84.9984,17, 대연동,수영로,00261,1903,"    97,000",2022.5.5
3078,대연롯데캐슬레전드1단지,2018,84.95,19, 대연동,수영로,00135,1872,"    83,000",2022.5.5
3079,대연극동StarClass,2002,59.73,10, 대연동,진남로36번길,00050,282-1,"    24,200",2022.5.6
3080,대연롯데캐슬레전드1단지,2018,84.95,14, 대연동,수영로,00135,1872,"    86,000",2022.5.6
3081,아침햇살,2005,54.4946,8, 대연동,용소로13번길,00062,40-3,"    24,000",2022.5.6
3082,금강,1976,60.86,1, 대연동,유엔평화로47번길,00135,571-2,"    16,500",2022.5.8
3083,대성아파트,1978,66.12,5, 대연동,유엔로,00127,892-10,"    13,550",2022.5.9
3084,대연롯데캐슬레전드1단지,2018,84.95,4, 대연동,수영로,00135,1872,"    73,000",2022.5.9
3085,대연SKVIEWHills,2018,84.9984,25, 대연동,수영로,00261,1903,"    96,800",2022.5.9
3086,대우그린1,1997,59.99,13, 대연동,황령대로319번가길,00190,245,"    17,300",2022.5.10
3087,신우맨션,1983,77.3,5, 대연동,유엔평화로47번길,00153,561-16,"    15,500",2022.5.10
3088,대호(877-6),2001,82.66,4, 대연동,용소로64번길,00135,877-6,"    17,500",2022.5.11
3089,대연롯데캐슬레전드1단지,2018,59.99,20, 대연동,수영로,00135,1872,"    64,200",2022.5.11
3090,일동지에닌,2006,84.97,19, 대연동,수영로,00209,1375-2,"    49,000",2022.5.11
3091,청구,2001,59.99,8, 대연동,황령대로319번가길,00110,243-23,"    21,000",2022.5.12
3092,대연파크푸르지오,2018,59.8743,5, 대연동,홍곡로,00360,1893,"    52,000",2022.5.12
3093,동성맨션,1978,67.93,2, 대연동,수영로,00142,1604-8,"    86,965",2022.5.12
3094,대연SKVIEWHills,2018,84.9639,20, 대연동,수영로,00261,1903,"    94,800",2022.5.14
3095,대연롯데캐슬레전드1단지,2018,59.94,9, 대연동,수영로,00135,1872,"    62,800",2022.5.14
3096,대연파크푸르지오,2018,84.9293,15, 대연동,홍곡로,00360,1893,"    69,500",2022.5.15
3097,대연파크푸르지오,2018,74.9524,16, 대연동,홍곡로,00360,1893,"    63,900",2022.5.15
3098,동경쉐르빌,2002,36.5,7, 대연동,유엔평화로10번길,00005,1748-5,"    14,000",2022.5.16
3099,더샵골드,2014,53.39,14, 대연동,유엔평화로4번길,00060,1752-8,"    22,500",2022.5.16
3100,신원,2000,84.15,14, 대연동,황령대로319번가길,00158,245-137,"    25,000",2022.5.17
3101,대연SKVIEWHills(2단지),2019,19.8197,8, 대연동,수영로,00261,1909,"    12,000",2022.5.17
3102,대연자이,2019,50.9684,4, 대연동,유엔로,00246,1912,"    49,000",2022.5.17
3103,투윈빌리지,2002,60.5,4, 대연동,못골로,00096,1741-6,"    20,200",2022.5.17
3104,대우,1996,84.92,11, 대연동,홍곡로,00343,1170-2,"    26,000",2022.5.18
3105,경동메르빌,2005,84.9302,6, 대연동,황령대로319번길,00026,252-1,"    38,500",2022.5.18
3106,삼성맨션,1978,64.83,1, 대연동,진남로30번가길,00032,285-2,"    13,400",2022.5.18
3107,신원,2000,59.99,3, 대연동,황령대로319번가길,00158,245-137,"    17,500",2022.5.19
3108,대연SKVIEWHills(2단지),2019,19.8197,10, 대연동,수영로,00261,1909,"    14,200",2022.5.19
3109,대연SKVIEWHills(2단지),2019,19.8197,7, 대연동,수영로,00261,1909,"    11,200",2022.5.19
3110,삼익그린,2001,59.86,17, 대연동,황령대로319번가길,00142,245-23,"    19,850",2022.5.20
3111,대연동에스케이뷰,2007,106.2656,17, 대연동,진남로,00159,1773-1,"    44,000",2022.5.20
3112,대연동동일스위트,2004,31.8492,19, 대연동,수영로,00294,74-2,"    11,300",2022.5.21
3113,삼익그린,2001,59.99,24, 대연동,황령대로319번가길,00142,245-23,"    22,700",2022.5.23
3114,대연힐스테이트푸르지오,2013,84.38,2, 대연동,수영로,00345,1858,"    99,000",2022.5.23
3115,부산대연동푸르지오,2005,29.24,3, 대연동,수영로325번길,00012,93-3,"    17,000",2022.5.23
3116,신원,2000,84.76,2, 대연동,황령대로319번가길,00158,245-137,"    18,000",2022.5.24
3117,대연파크푸르지오,2018,59.9881,22, 대연동,홍곡로,00360,1893,"    54,000",2022.5.24
3118,대연힐스테이트푸르지오,2013,115.07,35, 대연동,수영로,00345,1858,"   160,000",2022.5.24
3119,경동메르빌,2005,59.6643,16, 대연동,황령대로319번길,00026,252-1,"    26,000",2022.5.24
3120,글로리성보빌라트,2002,68.56,7, 대연동,유엔평화로41번길,00008,882-19,"    20,800",2022.5.24
3121,부산역유림로미오,2014,16.7953,7, 초량동,중앙대로274번길,00007,1165-1,"     6,500",2022.5.4
3122,장원하이드파크,2017,105.177,13, 초량동,중앙대로296번길,00011,1160-11,"    41,500",2022.5.6
3123,초량마마맨션,1987,52.08,2, 초량동,영초윗길,00019,994-5,"    12,000",2022.5.7
3124,썬라이즈A동,2003,63.57,8, 초량동,초량중로,00030,588-10,"    19,900",2022.5.17
3125,부산역삼정그린코아더시티,2021,84.2772,17, 초량동,중앙대로179번길,00027,593,"    43,000",2022.5.25
3126,e편한세상부산항,2019,84.6836,6, 초량동,홍곡로,00050,1218,"    73,000",2022.5.25
3127,KCB센트리움,2003,57.48,4, 초량동,중앙대로286번길,00007,1161-8,"    18,600",2022.5.27
3128,초량하이츠빌리지,2002,84.72,7, 초량동,고관로13번길,00036,106-7,"    28,000",2022.5.28
3129,부산역유림줄리엣,2014,16.8434,17, 초량동,중앙대로274번길,00007,1165-11,"     8,000",2022.5.31
3130,동원빌라,1986,57.51,2, 수정동,수정공원로105번길,00006,512-2,"     8,700",2022.5.2
3131,아르미나아파트,2001,84.9,6, 수정동,홍곡남로,00050,1048-35,"    27,800",2022.5.3
3132,수정(1181-4),1962,36.36,1, 수정동,망양로685번길,00030,1181-4,"     9,900",2022.5.10
3133,수정(1175-1),1962,36.36,5, 수정동,망양로689번길,00019,1175-1,"     9,500",2022.5.19
3134,오름CASTLE,2016,49.51,11, 수정동,중앙대로389번길,00010,1-74,"    18,500",2022.5.19
3135,협성휴포레부산진역오션뷰,2019,69.5108,42, 수정동,중앙대로,00357,1352,"    64,000",2022.5.23
3136,베스안하우스,2015,70.52,5, 수정동,고관로,00107,288-5,"    29,250",2022.5.28
3137,동원빌라,1986,57.51,5, 수정동,수정공원로105번길,00006,512-2,"    10,500",2022.5.30
3138,센텀동원아파트,2016,46.45,14, 수정동,고관로,00086,101-6,"    21,900",2022.5.30
3139,베스안하우스2차,2017,79.1,11, 수정동,홍곡로,00068,1014-8,"    33,800",2022.5.31
3140,대근아트빌라,2002,62.07,8, 좌천동,능풍길,00016,832-1,"    15,000",2022.5.10
3141,문화,1962,39.67,2, 좌천동,증산로113번길,00007,728-3,"     5,500",2022.5.12
3142,좌천서린엘마르더뷰,2018,59.8947,14, 좌천동,망양로,00850,1170,"    32,000",2022.5.16
3143,두산위브범일뉴타운,2006,84.9959,21, 좌천동,성남일로,00005,1168,"    43,500",2022.5.27
3144,제일,1962,43.1,3, 좌천동,증산로,00101,734-4,"     5,700",2022.5.28
3145,한양아파트,1978,64.23,12, 범일동,조방로26번길,00017,830-90,"    52,500",2022.5.9
3146,오션브릿지,2018,59.95,37, 범일동,범일로,00041,1655,"    49,900",2022.5.12
3147,두산위브포세이돈2,2006,84.99,5, 범일동,자성로116번길,00002,825-7,"    48,000",2022.5.15
3148,두산위브포세이돈2,2006,150.59,25, 범일동,자성로116번길,00002,825-7,"    77,000",2022.5.17
3149,아름빌102동,2003,83.73,6, 범일동,망양로,00944,1486-16,"    20,800",2022.5.23
3150,동양맨션,1982,58.28,3, 명장동,명서로,00160,300-55,"    29,300",2022.5.4
3151,동래동일스위트,2018,84.861,2, 명장동,시실로,00119,617,"    53,500",2022.5.9
3152,삼성타운,1996,84.75,15, 명장동,명장로20번길,00090,63-9,"    40,000",2022.5.16
3153,삼성타운,1996,59.61,23, 명장동,명장로20번길,00090,63-9,"    31,000",2022.5.16
3154,새동양맨숀,1983,56.02,4, 명장동,명장로64번길,00036,143-2,"    13,000",2022.5.28
3155,강변뜨란채,2006,59.69,10, 안락동,안남로,00079,1251,"    45,000",2022.5.6
3156,안락현대,2001,59.87,3, 안락동,삼어로,00009,15-26,"    28,500",2022.5.7
3157,화목,1990,84.95,1, 안락동,충렬사로,00039,962,"    42,000",2022.5.10
3158,안락뜨란채1단지,2005,74.65,6, 안락동,연안로,00071,1240,"    48,850",2022.5.10
3159,한성기린,1987,43.67,2, 안락동,온천천로431번길,00042,632-1,"    23,000",2022.5.13
3160,안락현대,2001,84.83,2, 안락동,삼어로,00009,15-26,"    42,000",2022.5.14
3161,에스케이쁘띠메종,2000,59.52,22, 안락동,삼어로,00012,15-3,"    33,000",2022.5.16
3162,석천,1992,83.67,8, 안락동,안연로,00084,733-1,"    26,400",2022.5.17
3163,에스케이쁘띠메종,2000,59.52,13, 안락동,삼어로,00012,15-3,"    33,200",2022.5.21
3164,동부산아이존빌,2003,59.7331,3, 안락동,충렬대로428번길,00049,598,"    34,500",2022.5.21
3165,포레나동래,2019,84.6439,18, 낙민동,온천천로339번길,00051,326,"    70,000",2022.5.6
3166,포레나동래,2019,84.8287,41, 낙민동,온천천로339번길,00051,326,"    74,000",2022.5.11
3167,동래우성,1997,40.3,16, 낙민동,안남로,00017,83-1,"    17,500",2022.5.12
3168,동원로얄듀크,1998,121.79,22, 낙민동,온천천로399번길,00014,94-1,"    40,300",2022.5.13
3169,부일스톤캐슬,2017,44.92,11, 낙민동,충렬대로255번길,00012,265,"    17,000",2022.5.18
3170,포레나동래,2019,84.6439,26, 낙민동,온천천로339번길,00051,326,"    69,000",2022.5.18
3171,광림,1984,78.3,1, 낙민동,낙민로,00013,187-1,"    60,000",2022.5.23
